Designator,Footprint,Quantity,Value,LCSC Part #
"J1_4, J1_3, J1_2, J1, J4_4, J4_3, J4_2, J4, J5_4, J5_3, J5_2, J5, J6_4, J6_3, J6_2, J6, J7_4, J7_3, J7_2, J7, J8_4, J8_3, J8_2, J8",USB_3.1_Brick_nogging_24_Male_Type-C_SMD_C399939,24,Conn_01x08_Male,
"J2_4, J2_3, J2_2, J2",PinHeader_1x08_P2.54mm_Vertical,4,Conn_01x08_Male,
